54	3
44	34
58	77
37	18
20	9
18	56
81	18
67	53
96	76
27	66
93	10
4	94
62	76
9	43
21	89
14	75
27	68
91	23
24	50
84	34
56	3
15	23
33	71
70	82
42	55
58	58
92	80
8	7
55	82
19	94
79	80
90	26
3	15
92	48
49	72
62	86
48	47
83	99
79	2
21	46
22	77
71	93
58	11
46	60
64	89
44	67
70	73
51	92
34	26
2	44
43	70
6	83
68	60
39	58
10	55
81	96
21	22
33	68
60	22
26	15
50	97
1	77
96	20
80	96
43	11
2	4
28	88
96	72
62	89
58	89
35	26
53	65
31	34
76	3
50	49
36	5
41	70
61	96
7	25
69	39
88	48
71	43
85	54
60	42
8	52
13	47
19	55
22	20
12	25
56	41
100	7
73	41
33	8
28	21
76	4
91	61
31	48
45	34
77	75
67	57
91	92
2	38
7	2
46	6
60	72
94	18
1	66
80	4
97	7
66	72
63	58
97	9
69	18
61	40
58	45
33	52
31	92
56	62
6	76
31	7
74	13
37	95
31	42
46	53
71	96
68	92
47	1
79	4
38	68
77	18
98	68
16	72
84	62
28	8
71	31
97	14
60	25
62	20
56	29
1	50
61	69
85	86
61	30
78	41
9	5
19	43
22	34
22	68
42	13
72	24
41	40
2	60
20	81
4	100
93	44
23	67
12	88
1	10
90	94
76	57
56	33
39	88
74	48
34	97
100	89
31	45
13	92
20	84
99	51
95	100
46	47
68	85
72	75
25	47
4	19
72	28
89	24
12	77
54	62
13	26
60	66
81	36
35	21
39	98
8	9
63	75
6	18
34	56
25	60
28	5
96	51
71	69
89	82
50	93
41	48
97	96
88	49
23	12
43	81
17	92
97	22
97	70
51	50
35	71
22	30
10	81
9	84
59	40
72	44
85	45
77	55
72	18
89	80
88	86
24	75
64	60
84	25
44	57
43	85
26	99
24	8
32	95
77	92
31	6
94	44
50	64
84	85
66	81
6	64
32	21
52	82
68	2
22	56
84	59
67	49
8	15
87	16
49	62
50	2
63	39
43	15
68	39
3	20
18	81
85	37
11	78
21	72
87	31
39	46
22	29
59	48
28	68
43	9
45	15
97	86
76	18
78	26
27	49
33	58
80	85
4	40
38	37
80	92
35	27
27	95
93	74
43	40
42	45
92	7
32	81
10	68
33	64
28	39
44	31
24	49
16	38
16	71
88	69
92	38
63	81
86	99
57	26
26	95
87	11
34	26
83	13
65	83
42	5
29	20
90	81
10	52
99	87
9	68
2	2
83	90
4	25
47	58
7	11
74	35
41	70
76	18
33	82
25	89
60	40
13	31
41	46
49	14
84	93
39	29
75	94
88	76
32	97
15	32
25	71
33	63
98	65
95	35
47	89
75	54
50	45
88	70
25	38
15	65
99	51
34	56
35	50
70	8
38	10
98	17
62	46
40	31
94	49
67	89
80	90
52	28
56	5
93	27
7	55
5	44
20	2
57	12
38	41
6	78
19	83
40	73
87	97
50	39
76	13
76	96
84	96
10	80
99	76
9	32
6	54
98	79
4	58
41	60
1	25
64	94
53	10
53	29
42	8
5	39
4	58
6	37
75	80
57	26
14	53
16	44
7	82
32	78
47	38
90	98
67	82
27	80
95	91
20	71
86	22
67	27
82	91
44	90
62	33
91	66
77	9
34	87
89	77
61	29
91	3
76	53
77	21
5	45
45	35
95	28
16	39
50	87
59	25
83	33
80	8
94	13
12	23
15	49
56	99
58	40
94	88
43	21
97	38
20	75
84	26
100	89
14	17
56	47
62	16
15	76
29	48
67	29
20	80
50	22
44	37
87	64
19	2
2	94
25	20
17	76
99	83
60	40
35	69
37	55
31	59
40	29
2	86
34	96
12	39
69	26
82	99
60	39
79	60
2	64
17	80
64	66
26	39
70	71
16	34
3	3
15	22
58	66
86	78
67	72
13	69
34	49
61	84
44	50
28	51
31	55
91	17
77	51
78	97
32	1
67	6
80	72
41	50
4	61
97	71
62	3
58	78
78	43
34	85
29	66
69	6
41	92
61	60
59	77
46	2
44	49
51	73
50	84
17	95
19	21
48	37
66	80
59	45
4	60
47	81
85	37
79	98
92	61
3	92
4	50
98	73
47	33
96	12
11	49
28	13
48	49
42	38
49	10
8	27
54	17
42	81
41	96
16	35
43	51
19	86
22	81
14	35
81	36
27	23
84	57
68	2
100	83
47	59
61	87
10	87
2	64
23	44
8	24
47	72
64	51
39	74
42	38
23	88
26	74
27	97
40	82
12	37
30	62
60	79
79	46
44	62
29	83
20	27
88	20
52	34
17	43
58	11
16	33
24	7
26	95
40	51
41	79
45	28
53	18
36	63
62	11
2	63
51	52
95	38
99	95
56	88
75	49
97	42
47	30
2	5
100	79
7	88
33	51
65	31
92	19
91	70
24	86
57	75
20	89
99	80
15	47
62	7
14	15
3	38
25	5
48	5
37	38
30	9
13	52
11	8
8	33
9	14
31	55
56	22
24	68
85	77
26	83
82	42
73	95
52	92
60	22
66	68
25	52
8	97
69	17
7	24
61	24
95	35
36	22
59	71
22	71
28	78
13	67
45	78
38	99
52	23
81	21
40	65
92	97
94	33
5	98
14	57
83	25
52	63
79	71
39	63
76	5
100	59
39	71
85	15
87	45
68	4
4	62
99	5
2	50
78	17
12	59
11	23
42	30
44	83
52	66
10	9
84	14
1	48
90	55
53	20
9	12
95	2
33	85
78	7
18	85
39	76
36	52
83	14
77	36
64	42
35	60
71	34
46	37
60	99
72	91
74	38
28	76
89	74
87	83
29	96
81	76
54	59
75	73
64	25
29	72
31	73
91	79
23	29
36	16
100	59
42	35
86	52
67	49
3	32
11	90
49	36
60	97
93	73
14	2
96	60
74	96
62	3
9	41
20	67
93	90
6	62
44	27
72	23
92	75
12	47
33	96
41	34
32	86
54	83
89	3
71	100
96	70
31	14
57	36
57	23
28	63
57	69
42	83
61	82
33	62
60	48
1	71
93	71
76	13
65	76
59	21
19	65
43	48
76	78
63	14
75	14
54	8
93	63
55	44
23	2
91	18
48	54
83	1
66	66
75	84
13	33
34	14
86	46
34	92
